AL, 03, 2023061700, 03,  UKX,  24,  90N,  310W,   0, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  36,  92N,  343W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  48, 101N,  376W,   0, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  60, 107N,  413W,   0, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  72, 114N,  453W,   0, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  84, 126N,  492W,   0, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  96, 131N,  526W,   0, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX, 108, 140N,  547W,   0, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX, 120, 148N,  569W,   0, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,   0,  99N,  254W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,   6, 102N,  270W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  12,  96N,  290W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  18,  88N,  302W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  24,  96N,  300W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  30, 105N,  311W,  36, 1009, XX,  34, NEQ,   73,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  36, 107N,  334W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  42, 107N,  352W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  48, 110N,  368W,  38, 1010, XX,  34, NEQ,   68,    0,    0,   63, 
AL, 03, 2023061700, 03, AC00,  54, 109N,  387W,  36, 1007, XX,  34, NEQ,   81,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  60, 110N,  404W,  38, 1007, XX,  34, NEQ,   82,    0,    0,   62, 
AL, 03, 2023061700, 03, AC00,  66, 109N,  420W,  40, 1004, XX,  34, NEQ,   80,    0,    0,   65, 
AL, 03, 2023061700, 03, AC00,  72, 111N,  433W,  42, 1005, XX,  34, NEQ,   90,    0,    0,   87, 
AL, 03, 2023061700, 03, AC00,  78, 112N,  446W,  49, 1000, XX,  34, NEQ,  107,    0,   31,   80, 
AL, 03, 2023061700, 03, AC00,  84, 115N,  460W,  51,  999, XX,  34, NEQ,   97,   60,    0,   92, 
AL, 03, 2023061700, 03, AC00,  84, 115N,  460W,  51,  999, XX,  50, NEQ,   41,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  90, 121N,  472W,  52,  995, XX,  34, NEQ,   95,    0,   30,   91, 
AL, 03, 2023061700, 03, AC00,  90, 121N,  472W,  52,  995, XX,  50, NEQ,   31,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00,  96, 123N,  484W,  53,  998, XX,  34, NEQ,  108,    0,   27,   82, 
AL, 03, 2023061700, 03, AC00,  96, 123N,  484W,  53,  998, XX,  50, NEQ,   44,    0,    0,   43, 
AL, 03, 2023061700, 03, AC00, 102, 123N,  494W,  50,  993, XX,  34, NEQ,   91,   40,   26,   79, 
AL, 03, 2023061700, 03, AC00, 108, 125N,  501W,  53,  996, XX,  34, NEQ,   88,   46,   24,   91, 
AL, 03, 2023061700, 03, AC00, 108, 125N,  501W,  53,  996, XX,  50, NEQ,   33,    0,    0,    0, 
