AL, 20, 2023101118, IN, IVCN,  96,     ,      ,  68,  42,   ,   19, 
AL, 20, 2023101118, IN, IVCN, 120,     ,      ,  68,  52,   ,   25, 
AL, 20, 2023101118, RI, DTOP,  12,     ,      ,   1,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, DTOP,  24,     ,      ,   3,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, DTOP,  24,     ,      ,   2,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, DTOP,  24,     ,      ,   1,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, DTOP,  24,     ,      ,   0,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, DTOP,  36,     ,      ,   0,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, DTOP,  48,     ,      ,   0,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, DTOP,  72,     ,      ,   0,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, EIOB,  12,  93N,  196W,   0,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, EIOB,  24,  93N,  196W,  10,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOB,  24,  93N,  196W,   1,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOB,  24,  93N,  196W,   0,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOB,  24,  93N,  196W,   0,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOB,  36,  93N,  196W,   0,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, EIOB,  48,  93N,  196W,   1,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, EIOB,  72,  93N,  196W,   3,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, EIOC,  12,  93N,  196W,   3,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, EIOC,  24,  93N,  196W,  18,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOC,  24,  93N,  196W,   9,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOC,  24,  93N,  196W,   5,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOC,  24,  93N,  196W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOC,  36,  93N,  196W,   8,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, EIOC,  48,  93N,  196W,  10,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, EIOC,  72,  93N,  196W,  24,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, EIOD,  12,  93N,  196W,   5,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, EIOD,  24,  93N,  196W,  18,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOD,  24,  93N,  196W,  12,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOD,  24,  93N,  196W,   9,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOD,  24,  93N,  196W,   7,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOD,  36,  93N,  196W,  12,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, EIOD,  48,  93N,  196W,  13,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, EIOD,  72,  93N,  196W,  18,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, EIOL,  12,  93N,  196W,   4,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, EIOL,  24,  93N,  196W,  25,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOL,  24,  93N,  196W,  14,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOL,  24,  93N,  196W,   6,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOL,  24,  93N,  196W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, EIOL,  36,  93N,  196W,  13,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, EIOL,  48,  93N,  196W,  17,  55,  85,    ,            0,           48, 
